City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,7.04,87,70,15.4,TF,1707755421
1,ulsteinvik,62.3432,5.8487,7.5,82,100,1.34,NO,1707755421
2,longyearbyen,78.2186,15.6401,-13.09,85,40,2.06,SJ,1707755422
3,ujae,8.9322,165.7642,26.86,72,99,9.65,MH,1707755422
4,mawu,29.5923,107.3139,11.86,72,10,1.21,CN,1707755423
5,edinburgh of the seven seas,-37.0676,-12.3116,17.31,71,87,7.85,SH,1707755423
6,ushuaia,-54.8,-68.3,10.81,62,75,7.72,AR,1707755233
7,grytviken,-54.2811,-36.5092,3.73,94,94,1.36,GS,1707755424
8,stanley,54.868,-1.6985,6.77,72,40,4.63,GB,1707755425
9,banfora,10.6333,-4.7667,38.81,5,19,2.46,BF,1707755426
10,dudinka,69.4058,86.1778,-37.4,99,11,1.79,RU,1707755426
11,talnakh,69.4865,88.3972,-34.31,89,6,1.76,RU,1707755427
12,iqaluit,63.7506,-68.5145,-29.06,75,20,1.03,CA,1707755428
13,puerto natales,-51.7236,-72.4875,15.25,44,75,10.29,CL,1707755428
14,adamstown,-25.066,-130.1015,24.79,88,99,8.79,PN,1707755429
15,invercargill,-46.4,168.35,9.45,88,71,1.34,NZ,1707755430
16,tazovsky,67.4667,78.7,-36.75,100,18,1.9,RU,1707755430
17,kodiak,57.79,-152.4072,2.73,93,100,6.69,US,1707755431
18,waitangi,-43.9535,-176.5597,12.68,88,51,0.89,NZ,1707755432
19,papatowai,-46.5619,169.4708,10.49,85,65,2.0,NZ,1707755432
20,kirakira,-10.4544,161.9205,26.39,84,56,4.4,SB,1707755433
21,margaret river,-33.95,115.0667,15.45,74,34,7.14,AU,1707755434
22,kamyshlov,56.8428,62.7111,-15.49,95,97,2.92,RU,1707755435
23,port lincoln,-34.7333,135.8667,17.34,82,0,1.9,AU,1707755436
24,wailua homesteads,22.0669,-159.378,18.24,88,0,3.09,US,1707755436
25,port elizabeth,-33.918,25.5701,24.62,76,1,10.29,ZA,1707755437
26,mohr,54.3528,9.7167,7.08,93,75,4.63,DE,1707755437
27,georgetown,5.4112,100.3354,28.96,63,20,4.12,MY,1707755165
28,port mathurin,-19.6833,63.4167,27.33,88,15,9.2,MU,1707755438
29,chonchi,-42.6128,-73.8092,16.56,33,1,2.43,CL,1707755439
30,westport,41.1415,-73.3579,6.77,62,0,2.57,US,1707755439
31,vidyayevo,69.3191,32.8049,-14.09,96,74,2.82,RU,1707755439
32,richards bay,-28.783,32.0377,23.27,71,54,5.13,ZA,1707755440
33,bilibino,68.0546,166.4372,-36.55,98,98,0.93,RU,1707755440
34,isafjordur,66.0755,-23.124,0.02,86,100,8.23,IS,1707755441
35,moyobamba,-6.05,-76.9667,20.96,98,100,0.29,PE,1707755441
36,bubaque,11.2833,-15.8333,26.72,64,0,5.5,GW,1707755442
37,albany,42.6001,-73.9662,3.43,67,39,0.89,US,1707755311
38,blackmans bay,-43.0167,147.3167,15.07,82,62,1.28,AU,1707755442
39,utrik,11.2278,169.8474,26.26,77,100,8.99,MH,1707755443
40,mount gambier,-37.8333,140.7667,13.95,71,0,1.48,AU,1707755411
41,hamilton,39.1834,-84.5333,7.36,68,0,4.12,US,1707754594
42,varna,43.2167,27.9167,13.08,62,0,4.12,BG,1707755444
43,tiksi,71.6872,128.8694,-32.42,100,100,1.08,RU,1707755445
44,bodaybo,57.8506,114.1933,-15.74,90,100,2.84,RU,1707755445
45,lagoa,39.05,-27.9833,15.58,79,98,14.16,PT,1707755446
46,bredasdorp,-34.5322,20.0403,24.4,62,4,4.82,ZA,1707755446
47,regina,50.4501,-104.6178,-9.42,87,20,1.54,CA,1707755447
48,touros,-5.1989,-35.4608,31.06,60,11,7.41,BR,1707755448
49,cafayate,-26.073,-65.9761,26.55,61,100,1.5,AR,1707755448
50,san sebastian de la gomera,28.0916,-17.1133,24.1,68,20,2.57,ES,1707755449
51,harwich,51.9419,1.2844,9.44,68,1,1.34,GB,1707755450
52,petukhovo,55.0692,67.9019,-16.73,93,100,3.8,RU,1707755451
53,brisas de zicatela,15.8369,-97.0419,30.29,66,0,3.09,MX,1707755451
54,namibe,-15.1961,12.1522,25.92,77,76,5.41,AO,1707755452
55,bethel,41.3712,-73.414,6.06,65,20,2.06,US,1707755452
56,atafu village,-8.5421,-172.5159,28.69,79,100,9.15,TK,1707755453
57,thompson,55.7435,-97.8558,-12.91,85,100,1.03,CA,1707755454
58,hermanus,-34.4187,19.2345,22.67,73,8,2.33,ZA,1707755455
59,anadyr,64.75,177.4833,-28.72,76,0,6.0,RU,1707755455
60,udachny,66.4167,112.4,-37.53,59,96,2.79,RU,1707755455
61,cobija,-11.0267,-68.7692,26.1,94,100,4.12,BO,1707755456
62,hanko,59.8333,22.95,-3.42,80,100,24.59,FI,1707755456
63,ploudalmezeau,48.5333,-4.65,10.29,66,20,3.6,FR,1707755456
64,enewetak,11.3474,162.3373,26.27,73,100,10.08,MH,1707755456
65,dzhambeyty,50.2536,52.595,-2.98,97,100,4.62,KZ,1707755456
66,ola,59.5833,151.2833,-24.95,93,98,3.04,RU,1707755457
67,east london,-33.0153,27.9116,25.52,73,0,8.23,ZA,1707755457
68,howrah,22.5892,88.3103,21.0,73,40,0.0,IN,1707755457
69,korla,41.7597,86.1469,1.02,59,73,4.97,CN,1707755457
70,san jose del cabo,23.0589,-109.6977,20.27,55,0,4.12,MX,1707755457
71,saudarkrokur,65.7461,-19.6394,0.06,95,99,7.86,IS,1707755457
72,iskateley,67.6803,53.1512,-32.77,100,14,2.24,RU,1707755458
73,alice springs,-23.7,133.8833,24.75,83,94,0.0,AU,1707755458
74,hirara,24.8,125.2833,17.15,63,100,4.12,JP,1707755458
75,i-n-salah,27.1935,2.4607,27.21,20,0,2.64,DZ,1707755458
76,college,64.8569,-147.8028,-17.17,80,40,1.54,US,1707755458
77,hawaiian paradise park,19.5933,-154.9731,20.02,97,20,1.54,US,1707755458
78,ilulissat,69.2167,-51.1,-18.99,46,75,2.57,GL,1707755459
79,mili,6.0815,171.735,27.46,76,100,9.48,MH,1707755459
80,mossel bay,-34.1831,22.146,30.96,68,5,0.48,ZA,1707755459
81,bay city,43.5945,-83.8889,3.36,68,0,4.63,US,1707755459
82,jamestown,42.097,-79.2353,1.12,81,100,0.45,US,1707755434
83,khashuri,41.9941,43.5999,8.98,54,100,1.8,GE,1707755460
84,hammerfest,70.6634,23.6821,-5.75,93,0,0.0,NO,1707755460
85,sinabang,2.4803,96.3801,27.09,77,0,0.52,ID,1707755460
86,avarua,-21.2078,-159.775,25.03,78,20,2.57,CK,1707755460
87,uturoa,-16.7333,-151.4333,27.41,88,100,10.68,PF,1707755460
88,kirkwall,58.9848,-2.9587,6.03,75,20,3.6,GB,1707755461
89,karratha,-20.7377,116.8463,27.67,76,0,5.92,AU,1707755461
90,lemoore,36.3008,-119.7829,8.51,91,100,0.0,US,1707755461
91,carora,10.1755,-70.0827,33.51,32,70,4.8,VE,1707755461
92,kerikeri,-35.2268,173.9474,17.73,88,70,1.46,NZ,1707755462
93,phalaborwa,-23.943,31.1411,27.6,43,8,1.69,ZA,1707755462
94,west island,-12.1568,96.8225,28.99,79,40,5.14,CC,1707755462
95,petropavlovsk-kamchatsky,53.0452,158.6483,-18.08,81,0,4.0,RU,1707755463
96,ribeira grande,38.5167,-28.7,17.65,77,75,11.62,PT,1707755463
97,tura,25.5198,90.2201,15.67,27,1,1.35,IN,1707755463
98,siniscola,40.5719,9.6922,14.75,61,96,3.02,IT,1707755463
99,prince rupert,54.3161,-130.3201,3.83,100,100,7.72,CA,1707755464
100,keetmanshoop,-26.5833,18.1333,35.72,13,15,11.77,NA,1707755464
101,galliano,29.4422,-90.2992,17.22,72,100,8.23,US,1707755464
102,hadibu,12.65,54.0333,25.49,76,23,3.66,YE,1707755464
103,baiti,13.745,-14.7482,39.54,5,0,1.94,SN,1707755465
104,ust-nera,64.5667,143.2,-39.04,95,69,1.1,RU,1707755465
105,badger,64.8,-147.5333,-17.22,83,40,1.54,US,1707755465
106,qaqortoq,60.7167,-46.0333,-3.24,61,100,2.38,GL,1707755465
107,san borja,-14.8167,-66.85,26.26,88,100,2.14,BO,1707755465
108,nemuro,43.3236,145.575,-1.93,81,32,4.64,JP,1707755465
109,fort bragg,35.139,-79.006,17.33,94,100,5.14,US,1707755466
110,tidjikja,18.5564,-11.4271,32.88,17,0,3.44,MR,1707755466
111,brookings,44.3114,-96.7984,1.7,82,0,2.57,US,1707755466
112,puerto ayora,-0.7393,-90.3518,29.98,91,14,2.68,EC,1707755466
113,olonkinbyen,70.9221,-8.7187,-1.41,93,100,6.86,SJ,1707755466
114,nuriootpa,-34.4833,139.0,23.05,39,5,1.16,AU,1707755466
115,whitehorse,60.7161,-135.0538,-10.57,79,20,2.06,CA,1707755412
116,hakui,36.8833,136.7833,1.79,75,5,5.55,JP,1707755467
117,camocim,-2.9022,-40.8411,27.78,83,26,10.93,BR,1707755467
118,alofi,-19.0595,-169.9187,25.94,94,100,4.12,NU,1707755467
119,san luis,-33.295,-66.3356,25.54,41,35,8.38,AR,1707755467
120,broken hill,-31.95,141.4333,28.56,37,13,5.73,AU,1707755467
121,akureyri,65.6835,-18.0878,0.96,86,100,5.66,IS,1707755467
122,nar'yan-mar,67.6713,53.087,-32.72,100,14,2.24,RU,1707755468
123,xinmin,41.9908,122.8253,2.23,84,0,7.74,CN,1707755468
124,salekhard,66.53,66.6019,-35.73,96,8,0.89,RU,1707755468
125,bani walid,31.7566,13.9942,18.16,38,33,5.79,LY,1707755468
126,daru,-9.0763,143.2092,26.09,87,100,2.25,PG,1707755469
127,yellowknife,62.456,-114.3525,-12.62,96,100,1.54,CA,1707755469
128,dwarka,22.2394,68.9678,23.47,52,100,5.07,IN,1707755469
129,punta arenas,-53.15,-70.9167,13.06,54,75,7.2,CL,1707755469
130,ko pha ngan,9.7578,100.0291,25.1,66,8,6.61,TH,1707755469
131,kapit,2.0167,112.9333,23.98,99,100,0.55,MY,1707755469
132,ginir,7.1333,40.7,19.25,47,54,2.8,ET,1707755470
133,saldanha,-33.0117,17.9442,24.03,91,42,6.49,ZA,1707755470
134,hailar,49.2,119.7,-14.86,98,86,1.67,CN,1707755470
135,le lavandou,43.137,6.366,13.9,46,0,4.12,FR,1707755470
136,baker city,44.7749,-117.8344,2.55,80,75,2.57,US,1707755404
137,toliara,-23.35,43.6667,29.15,79,36,4.88,MG,1707755470
138,saga,33.2493,130.2988,2.97,64,0,0.46,JP,1707755470
139,emerald,-23.5333,148.1667,22.97,79,20,5.42,AU,1707755471
140,selkirk,50.1436,-96.8845,-3.8,85,80,1.79,CA,1707755471
141,tofol,5.3248,163.0078,27.5,79,99,6.93,FM,1707755471
142,donggang,28.9365,114.2259,11.45,76,82,1.5,CN,1707755471
143,shevchenko,48.5,35.0,11.61,76,100,6.69,UA,1707755471
144,lebu,-37.6167,-73.65,14.69,68,0,11.89,CL,1707755471
145,warrenton,-28.114,24.8475,29.55,25,77,0.65,ZA,1707755471
146,turi,40.9173,17.0212,12.47,72,47,1.62,IT,1707755472
147,pozanti,37.4278,34.8717,8.73,72,100,1.54,TR,1707755472
148,ust'-uda,54.1742,103.0304,-16.79,98,98,0.97,RU,1707755472
149,popovaca,44.6392,15.1792,5.54,87,84,1.75,HR,1707755472
150,iyidere,41.0119,40.3619,13.98,49,100,3.03,TR,1707755472
151,aitape,-3.1374,142.3475,26.43,85,83,2.9,PG,1707755473
152,anqiu,36.4342,119.1925,6.87,74,0,3.84,CN,1707755473
153,cabo san lucas,22.8909,-109.9124,19.73,50,0,1.03,MX,1707755174
154,shiyan,32.6475,110.7781,10.23,74,27,0.82,CN,1707755473
155,kushiro,42.975,144.3747,-0.47,59,70,3.09,JP,1707755473
156,linxia chengguanzhen,35.6003,103.2064,1.38,33,11,0.94,CN,1707755473
157,quepos,9.4236,-84.1652,31.09,57,67,2.93,CR,1707755473
158,new norfolk,-42.7826,147.0587,15.72,98,59,1.04,AU,1707755474
159,horta,38.5333,-28.6333,17.23,82,75,11.62,PT,1707755474
160,susuman,62.7833,148.1667,-41.12,100,73,0.45,RU,1707755474
161,sumbe,-11.2061,13.8437,28.71,80,17,2.66,AO,1707755474
162,happy valley-goose bay,53.3168,-60.3315,-1.83,74,75,3.6,CA,1707755413
163,bikenibeu village,1.3673,173.1241,28.98,84,20,4.12,KI,1707755474
164,kelso,46.1468,-122.9084,8.05,95,100,2.57,US,1707755475
165,ha'il,27.5219,41.6907,13.01,76,0,5.14,SA,1707755475
166,troyan,42.8943,24.7159,12.2,99,42,0.69,BG,1707755475
